Date,Open,High,Low,Close,Adj Close,Volume
1993-02-28,9393.299805,9393.299805,9243.000000,9251.299805,9251.299805,6878000
1993-03-31,2612.300049,9904.000000,2574.399902,9761.000000,9761.000000,61230500
1993-04-30,9718.400391,9854.599609,2626.899902,9500.700195,9500.700195,98609200
1993-05-31,9498.900391,9663.900391,2787.000000,2854.600098,2854.600098,98299100
1993-06-30,2854.600098,9084.000000,2799.000000,2981.199951,2981.199951,88000
1993-07-31,2999.399902,3436.800049,2970.399902,3360.199951,3360.199951,0
1993-08-31,3336.800049,3336.800049,3073.699951,3177.300049,3177.300049,0
1993-09-30,3177.300049,3482.699951,3157.399902,3449.600098,3449.600098,0
1993-10-31,3449.600098,3477.899902,3262.899902,3280.100098,3280.100098,0
1993-11-30,3301.899902,3634.000000,3301.899902,3615.199951,3615.199951,0
1993-12-31,3615.199951,3980.500000,3581.000000,3980.500000,3980.500000,0
1994-01-31,3954.399902,3970.000000,3671.500000,3739.699951,3739.699951,0
1994-02-28,3719.500000,3784.000000,3480.800049,3489.100098,3489.100098,0
1994-03-31,3485.600098,3618.699951,3293.800049,3520.699951,3520.699951,0
1994-04-30,3461.600098,3677.300049,3313.199951,3512.600098,3512.600098,0
1994-05-31,3502.500000,3546.399902,3144.399902,3200.699951,3200.699951,0
1994-06-30,3200.699951,3364.399902,3076.100098,3364.199951,3364.199951,0
1994-07-31,3379.899902,3477.399902,3204.800049,3337.000000,3337.000000,0
1994-08-31,3326.300049,3326.300049,3119.800049,3176.600098,3176.600098,0
1994-09-30,3156.300049,3294.300049,3056.300049,3194.500000,3194.500000,0
1994-10-31,3169.199951,3341.500000,3142.300049,3287.100098,3287.100098,0
1994-11-30,3281.199951,3336.800049,3017.699951,3087.699951,3087.699951,0
1994-12-31,3087.699951,3121.300049,2929.699951,3040.100098,3040.100098,0
1995-01-31,3054.199951,3174.100098,3002.199951,3024.500000,3024.500000,0
1995-02-28,3024.500000,3092.300049,2833.600098,2931.699951,2931.699951,0
1995-03-31,2931.699951,3107.000000,2911.899902,3091.899902,3091.899902,0
1995-04-30,3119.300049,3348.800049,3119.300049,3226.500000,3226.500000,0
1995-05-31,3240.500000,3283.800049,3196.000000,3219.100098,3219.100098,0
1995-06-30,3219.100098,3395.899902,3201.100098,3373.399902,3373.399902,0
1995-07-31,3375.899902,3542.500000,3375.899902,3432.800049,3432.800049,0
1995-08-31,3432.800049,3546.600098,3328.500000,3376.800049,3376.800049,0
1995-09-30,3376.800049,3387.899902,3162.199951,3277.300049,3277.300049,0
1995-10-31,3280.899902,3527.899902,3242.899902,3510.100098,3510.100098,0
1995-11-30,3520.500000,3641.500000,3509.199951,3630.800049,3630.800049,0
1995-12-31,3640.000000,3768.100098,3629.000000,3734.500000,3734.500000,0
1996-01-31,3734.500000,3916.300049,3611.800049,3915.500000,3915.500000,0
1996-02-29,3915.500000,3939.500000,3634.000000,3857.100098,3857.100098,0
1996-03-31,3857.100098,4139.799805,3830.199951,4082.899902,4082.899902,0
1996-04-30,4061.000000,4189.799805,3980.600098,4111.700195,4111.700195,0
1996-05-31,4092.899902,4291.500000,4064.600098,4264.100098,4264.100098,0
1996-06-30,4264.100098,4306.500000,3890.600098,3979.399902,3979.399902,0
1996-07-31,3992.199951,4124.600098,3985.500000,4025.500000,4025.500000,0
1996-08-31,4025.500000,4240.399902,3898.100098,4215.600098,4215.600098,0
1996-09-30,4215.600098,4413.799805,4208.700195,4306.700195,4306.700195,0
1996-10-31,4306.700195,4667.899902,4290.000000,4667.799805,4667.799805,0
1996-11-30,4667.799805,5217.799805,4603.299805,5154.799805,5154.799805,0
1996-12-31,5097.500000,5571.500000,5011.399902,5327.399902,5327.399902,0
1997-01-31,5318.399902,5567.500000,5263.799805,5305.399902,5305.399902,0
1997-02-28,5305.399902,5702.799805,5249.000000,5424.299805,5424.299805,0
1997-03-31,5367.600098,5909.299805,5254.500000,5909.299805,5909.299805,0
1997-04-30,5973.700195,6747.700195,5973.700195,6300.799805,6300.799805,0
1997-05-31,6300.799805,6989.799805,6180.000000,6884.600098,6884.600098,0
1997-06-30,6884.600098,7222.299805,6640.899902,6810.899902,6810.899902,0
1997-07-31,6810.899902,6932.500000,6500.200195,6532.299805,6532.299805,0
1997-08-31,6532.299805,7307.399902,6532.100098,7269.700195,7269.700195,0
1997-09-30,7269.700195,7335.100098,5403.500000,6380.399902,6380.399902,0
1997-10-31,6419.899902,6953.500000,6083.799805,6932.100098,6932.100098,0
1997-11-30,6990.000000,7374.600098,6967.500000,7255.399902,7255.399902,0
1997-12-31,7318.899902,8000.500000,7235.200195,7959.000000,7959.000000,0
1998-01-31,8030.200195,8903.599609,8003.500000,8900.099609,8900.099609,0
1998-02-28,8923.299805,10407.799805,8779.299805,10209.099609,10209.099609,0
1998-03-31,10209.099609,10949.799805,9503.299805,10025.599609,10025.599609,0
